const_cd,const_nm,winner19,winner24,con24,green24,lab24,ld24,other24,pc24,ref24,snp24,con19,lab19,ld19,green19,snp19,pc19,brx19,other19
E14001496,South West Hertfordshire,Con,lab,28.0%,2.9%,28.3%,18.9%,4.6%,0.0%,17.3%,0.0%,52.2%,16.1%,12.7%,1.5%,0.0%,0.0%,0.0%,17.5%
E14001497,South West Norfolk,Con,lab,29.7%,4.5%,31.6%,6.0%,0.9%,0.0%,27.3%,0.0%,68.7%,18.3%,8.3%,3.0%,0.0%,0.0%,0.0%,1.7%
E14001498,South West Wiltshire,Con,lab,27.4%,5.3%,37.2%,12.2%,2.3%,0.0%,15.6%,0.0%,58.3%,21.5%,16.5%,3.7%,0.0%,0.0%,0.0%,0.0%
E14001499,Southampton Itchen,Con,lab,22.1%,4.7%,49.3%,5.9%,0.8%,0.0%,17.3%,0.0%,50.5%,41.0%,5.3%,2.2%,0.0%,0.0%,0.0%,1.0%
E14001500,Southampton Test,Lab,lab,18.4%,7.8%,48.7%,11.4%,1.3%,0.0%,12.4%,0.0%,35.7%,49.5%,7.7%,3.2%,0.0%,0.0%,3.5%,0.5%
E14001501,Southend East and Rochford,Con,lab,25.5%,2.9%,38.8%,6.8%,1.3%,0.0%,24.7%,0.0%,59.0%,31.3%,6.4%,0.1%,0.0%,0.0%,0.0%,3.1%
E14001502,Southend West and Leigh,Con,lab,31.1%,3.8%,36.9%,8.8%,1.9%,0.0%,17.5%,0.0%,59.1%,29.0%,10.6%,0.0%,0.0%,0.0%,0.0%,1.3%
E14001503,Southgate and Wood Green,Lab,lab,15.1%,5.0%,54.9%,13.7%,4.8%,0.0%,6.4%,0.0%,28.6%,57.8%,9.9%,2.5%,0.0%,0.0%,1.3%,0.0%
E14001504,Southport,Con,lab,23.2%,4.5%,48.8%,8.2%,0.9%,0.0%,14.4%,0.0%,50.4%,36.8%,12.5%,0.4%,0.0%,0.0%,0.0%,0.0%
E14001505,Spelthorne,Con,lab,30.5%,4.8%,31.8%,22.1%,1.0%,0.0%,9.8%,0.0%,58.9%,21.7%,15.1%,4.3%,0.0%,0.0%,0.0%,0.0%
E14001506,Spen Valley,Con,lab,24.7%,7.2%,43.7%,6.1%,3.1%,0.0%,15.2%,0.0%,46.4%,33.5%,5.8%,1.8%,0.0%,0.0%,3.4%,9.1%
E14001507,St Albans,LD,ld,22.5%,3.3%,14.1%,53.3%,0.8%,0.0%,6.0%,0.0%,39.3%,8.8%,49.9%,1.7%,0.0%,0.0%,0.0%,0.3%
E14001508,St Austell and Newquay,Con,lab,26.6%,6.7%,34.8%,10.1%,8.5%,0.0%,13.2%,0.0%,55.6%,26.6%,10.8%,3.1%,0.0%,0.0%,0.0%,3.9%
E14001509,St Helens North,Lab,lab,13.1%,5.0%,59.0%,5.2%,0.7%,0.0%,16.9%,0.0%,26.6%,52.3%,5.6%,4.1%,0.0%,0.0%,11.3%,0.0%
E14001510,St Helens South and Whiston,Lab,lab,9.5%,3.8%,66.9%,4.0%,0.7%,0.0%,15.1%,0.0%,21.3%,58.1%,5.7%,4.3%,0.0%,0.0%,10.6%,0.0%
E14001511,St Ives,Con,ld,27.0%,3.5%,20.2%,36.7%,0.9%,0.0%,11.7%,0.0%,49.0%,9.1%,39.3%,1.8%,0.0%,0.0%,0.0%,0.8%
E14001512,St Neots and Mid Cambridgeshire,Con,lab,28.3%,3.8%,30.6%,22.2%,0.9%,0.0%,14.3%,0.0%,51.3%,18.8%,26.8%,1.7%,0.0%,0.0%,0.0%,1.4%
E14001513,Stafford,Con,lab,26.0%,10.6%,46.6%,4.0%,0.7%,0.0%,12.1%,0.0%,57.9%,31.2%,6.4%,4.5%,0.0%,0.0%,0.0%,0.0%
E14001514,Staffordshire Moorlands,Con,lab,28.4%,4.6%,46.3%,3.5%,0.0%,0.0%,17.3%,0.0%,64.1%,26.7%,6.1%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001515,Stalybridge and Hyde,Lab,lab,15.4%,3.4%,60.4%,3.2%,1.7%,0.0%,16.0%,0.0%,38.0%,44.9%,4.3%,3.3%,0.0%,0.0%,8.5%,1.0%
E14001516,Stevenage,Con,lab,23.4%,3.7%,41.5%,5.7%,3.7%,0.0%,22.0%,0.0%,53.1%,35.2%,8.7%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001517,Stockport,Lab,lab,12.3%,4.2%,62.7%,5.7%,0.8%,0.0%,14.3%,0.0%,28.2%,54.3%,8.7%,3.6%,0.0%,0.0%,5.3%,0.0%
E14001518,Stockton North,Lab,lab,16.3%,4.2%,57.7%,2.9%,0.0%,0.0%,19.0%,0.0%,37.5%,46.7%,4.0%,0.0%,0.0%,0.0%,9.0%,2.8%
E14001519,Stockton West,Con,lab,26.5%,4.4%,38.4%,7.9%,1.0%,0.0%,21.8%,0.0%,56.5%,33.9%,4.4%,0.5%,0.0%,0.0%,4.7%,0.0%
E14001520,Stoke-on-Trent Central,Con,lab,17.0%,7.2%,42.4%,3.3%,2.4%,0.0%,27.7%,0.0%,47.1%,42.9%,3.8%,2.0%,0.0%,0.0%,4.3%,0.0%
E14001521,Stoke-on-Trent North,Con,lab,23.0%,3.9%,47.0%,5.6%,2.0%,0.0%,18.5%,0.0%,54.1%,34.8%,3.3%,1.4%,0.0%,0.0%,5.6%,0.8%
E14001522,Stoke-on-Trent South,Con,lab,32.4%,5.5%,33.1%,8.4%,2.9%,0.0%,17.8%,0.0%,62.5%,29.6%,6.2%,1.6%,0.0%,0.0%,0.0%,0.0%
E14001523,"Stone, Great Wyrley and Penkridge",Con,lab,42.0%,5.8%,45.3%,6.0%,0.9%,0.0%,0.0%,0.0%,68.5%,21.6%,6.5%,3.4%,0.0%,0.0%,0.0%,0.0%
E14001524,Stourbridge,Con,lab,27.6%,5.1%,45.1%,5.6%,1.1%,0.0%,15.6%,0.0%,61.8%,29.1%,5.8%,2.0%,0.0%,0.0%,0.0%,1.3%
E14001525,Stratford and Bow,Lab,lab,9.1%,7.5%,63.1%,11.3%,2.4%,0.0%,6.6%,0.0%,14.5%,70.4%,9.0%,3.7%,0.0%,0.0%,2.3%,0.0%
E14001526,Stratford-on-Avon,Con,con,29.4%,4.7%,24.0%,21.5%,2.8%,0.0%,17.6%,0.0%,60.2%,11.3%,24.7%,3.8%,0.0%,0.0%,0.0%,0.0%
E14001527,Streatham and Croydon North,Lab,lab,9.9%,5.3%,64.9%,11.3%,1.3%,0.0%,7.3%,0.0%,18.8%,57.9%,17.5%,4.4%,0.0%,0.0%,1.3%,0.0%
E14001528,Stretford and Urmston,Lab,lab,12.8%,5.8%,63.0%,4.5%,1.1%,0.0%,12.7%,0.0%,27.5%,60.3%,5.9%,2.7%,0.0%,0.0%,3.5%,0.0%
E14001529,Stroud,Con,lab,18.4%,7.7%,51.2%,3.3%,0.7%,0.0%,18.6%,0.0%,45.7%,41.6%,2.2%,8.0%,0.0%,0.0%,1.5%,0.9%
E14001530,Suffolk Coastal,Con,lab,31.9%,5.6%,42.1%,9.7%,0.0%,0.0%,10.8%,0.0%,56.4%,21.4%,15.1%,4.4%,0.0%,0.0%,0.0%,2.6%
E14001531,Sunderland Central,Lab,lab,14.9%,4.7%,58.6%,3.8%,0.0%,0.0%,18.0%,0.0%,35.4%,42.2%,7.0%,2.8%,0.0%,0.0%,11.6%,1.1%
E14001532,Surrey Heath,Con,con,32.4%,8.0%,19.7%,25.2%,0.8%,0.0%,13.9%,0.0%,57.9%,9.4%,28.0%,3.5%,0.0%,0.0%,0.0%,1.2%
E14001533,Sussex Weald,Con,con,30.7%,6.1%,23.8%,17.5%,0.6%,0.0%,21.3%,0.0%,63.7%,14.9%,16.8%,4.6%,0.0%,0.0%,0.0%,0.0%
E14001534,Sutton and Cheam,Con,ld,26.8%,5.0%,23.3%,33.5%,0.8%,0.0%,10.7%,0.0%,50.0%,14.3%,33.4%,2.3%,0.0%,0.0%,0.0%,0.0%
E14001535,Sutton Coldfield,Con,lab,29.0%,6.5%,33.0%,9.3%,1.0%,0.0%,21.1%,0.0%,60.4%,23.6%,12.2%,3.9%,0.0%,0.0%,0.0%,0.0%
E14001536,Swindon North,Con,lab,23.5%,5.5%,46.5%,5.1%,0.9%,0.0%,18.5%,0.0%,58.5%,30.5%,7.9%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001537,Swindon South,Con,lab,21.5%,5.1%,46.2%,6.8%,0.8%,0.0%,19.6%,0.0%,51.6%,40.2%,7.6%,0.5%,0.0%,0.0%,0.0%,0.0%
E14001538,Tamworth,Con,lab,29.1%,3.9%,39.5%,3.6%,1.2%,0.0%,22.8%,0.0%,66.7%,23.3%,5.3%,2.1%,0.0%,0.0%,0.0%,2.6%
E14001539,Tatton,Con,lab,30.0%,4.5%,40.2%,10.2%,0.0%,0.0%,15.1%,0.0%,57.3%,22.5%,16.2%,3.7%,0.0%,0.0%,0.4%,0.0%
E14001540,Taunton and Wellington,Con,ld,24.4%,2.4%,17.6%,41.1%,1.7%,0.0%,12.8%,0.0%,52.0%,7.9%,36.3%,0.0%,0.0%,0.0%,0.0%,3.8%
E14001541,Telford,Con,lab,26.3%,6.3%,45.4%,3.5%,0.0%,0.0%,18.5%,0.0%,59.4%,34.3%,6.2%,0.1%,0.0%,0.0%,0.0%,0.0%
E14001542,Tewkesbury,Con,con,34.0%,9.6%,25.5%,16.6%,1.0%,0.0%,13.3%,0.0%,58.1%,15.7%,22.0%,4.2%,0.0%,0.0%,0.0%,0.0%
E14001543,The Wrekin,Con,lab,27.1%,4.9%,30.0%,12.7%,0.9%,0.0%,24.3%,0.0%,64.7%,24.3%,8.0%,2.9%,0.0%,0.0%,0.0%,0.0%
E14001544,Thirsk and Malton,Con,lab,32.9%,5.1%,39.9%,8.7%,1.6%,0.0%,11.8%,0.0%,62.5%,17.8%,12.5%,4.5%,0.0%,0.0%,0.0%,2.8%
E14001545,Thornbury and Yate,Con,ld,31.3%,3.4%,17.8%,34.8%,0.0%,0.0%,12.7%,0.0%,58.5%,8.7%,32.6%,0.2%,0.0%,0.0%,0.0%,0.0%
E14001546,Thurrock,Con,lab,27.1%,6.0%,40.1%,4.0%,1.5%,0.0%,21.2%,0.0%,59.9%,32.9%,3.1%,1.7%,0.0%,0.0%,0.0%,2.3%
E14001547,Tipton and Wednesbury,Con,lab,22.2%,5.5%,44.1%,4.3%,1.8%,0.0%,22.1%,0.0%,50.7%,38.4%,3.1%,1.9%,0.0%,0.0%,5.8%,0.0%
E14001548,Tiverton and Minehead,Con,con,32.2%,5.8%,20.3%,29.0%,0.0%,0.0%,12.7%,0.0%,61.3%,14.3%,19.5%,4.3%,0.0%,0.0%,0.0%,0.6%
E14001549,Tonbridge,Con,con,33.9%,16.1%,24.2%,8.0%,0.7%,0.0%,17.0%,0.0%,64.8%,15.1%,12.3%,7.9%,0.0%,0.0%,0.0%,0.0%
E14001550,Tooting,Lab,lab,13.7%,7.5%,62.0%,9.0%,1.0%,0.0%,6.8%,0.0%,28.2%,52.7%,14.2%,4.0%,0.0%,0.0%,0.8%,0.1%
E14001551,Torbay,Con,con,30.9%,6.3%,18.1%,28.2%,1.2%,0.0%,15.3%,0.0%,59.1%,13.0%,24.2%,2.4%,0.0%,0.0%,0.0%,1.3%
E14001552,Torridge and Tavistock,Con,con,29.5%,3.9%,24.3%,24.9%,3.7%,0.0%,13.7%,0.0%,59.8%,17.9%,17.9%,3.4%,0.0%,0.0%,0.0%,1.0%
E14001553,Tottenham,Lab,lab,8.3%,11.2%,69.5%,4.3%,1.8%,0.0%,4.8%,0.0%,11.1%,77.8%,5.0%,4.3%,0.0%,0.0%,1.3%,0.5%
E14001554,Truro and Falmouth,Con,lab,23.2%,4.4%,48.6%,8.1%,1.2%,0.0%,14.5%,0.0%,46.8%,38.8%,10.8%,2.8%,0.0%,0.0%,0.0%,0.8%
E14001555,Tunbridge Wells,Con,ld,26.4%,2.1%,22.6%,37.6%,0.9%,0.0%,10.4%,0.0%,55.1%,14.8%,28.3%,0.0%,0.0%,0.0%,0.0%,1.8%
E14001556,Twickenham,LD,ld,18.2%,3.3%,12.6%,57.0%,0.5%,0.0%,8.4%,0.0%,33.8%,8.7%,56.2%,0.0%,0.0%,0.0%,1.3%,0.0%
E14001557,Tynemouth,Lab,lab,16.9%,4.3%,55.3%,5.0%,0.8%,0.0%,17.7%,0.0%,40.2%,46.7%,6.7%,2.4%,0.0%,0.0%,3.9%,0.0%
E14001558,Uxbridge and South Ruislip,Con,lab,26.6%,3.9%,52.3%,4.9%,1.6%,0.0%,10.6%,0.0%,52.6%,37.0%,6.6%,2.7%,0.0%,0.0%,0.0%,1.1%
E14001559,Vauxhall and Camberwell Green,Lab,lab,11.0%,9.4%,60.4%,10.9%,2.0%,0.0%,6.4%,0.0%,14.5%,60.5%,19.1%,4.1%,0.0%,0.0%,1.6%,0.3%
E14001560,Wakefield and Rothwell,Con,lab,18.1%,3.3%,53.6%,5.4%,7.8%,0.0%,11.8%,0.0%,44.9%,39.5%,10.9%,1.0%,0.0%,0.0%,3.2%,0.5%
E14001561,Wallasey,Lab,lab,11.0%,4.0%,56.3%,3.7%,10.3%,0.0%,14.8%,0.0%,25.9%,63.7%,3.9%,2.4%,0.0%,0.0%,4.1%,0.0%
E14001562,Walsall and Bloxwich,Con,lab,23.8%,8.0%,44.3%,4.4%,2.1%,0.0%,17.3%,0.0%,49.2%,44.4%,2.9%,1.5%,0.0%,0.0%,1.3%,0.6%
E14001563,Walthamstow,Lab,lab,8.7%,8.8%,70.1%,4.5%,2.2%,0.0%,5.7%,0.0%,12.3%,76.1%,5.9%,3.6%,0.0%,0.0%,1.6%,0.5%
E14001564,Warrington North,Lab,lab,19.8%,6.0%,51.0%,6.3%,0.9%,0.0%,16.1%,0.0%,40.9%,44.2%,6.6%,2.7%,0.0%,0.0%,5.6%,0.0%
E14001565,Warrington South,Lab,lab,20.0%,3.1%,62.0%,4.3%,0.9%,0.0%,9.8%,0.0%,44.4%,44.5%,8.2%,0.0%,0.0%,0.0%,2.7%,0.3%
E14001566,Warwick and Leamington,Lab,lab,20.5%,7.5%,53.0%,7.8%,1.6%,0.0%,9.6%,0.0%,41.1%,43.3%,10.9%,2.9%,0.0%,0.0%,1.4%,0.4%
E14001567,Washington and Gateshead South,Lab,lab,14.2%,6.1%,50.2%,3.6%,0.7%,0.0%,25.3%,0.0%,33.7%,43.1%,4.9%,2.7%,0.0%,0.0%,13.8%,1.8%
E14001568,Watford,Con,lab,24.6%,5.6%,43.3%,14.6%,1.6%,0.0%,10.4%,0.0%,42.0%,39.3%,17.7%,0.3%,0.0%,0.0%,0.0%,0.7%
E14001569,Waveney Valley,Con,con,29.5%,29.0%,20.6%,5.0%,1.1%,0.0%,14.7%,0.0%,62.2%,18.6%,9.2%,9.3%,0.0%,0.0%,0.0%,0.7%
E14001570,Weald of Kent,Con,con,40.5%,8.1%,28.7%,7.1%,0.0%,0.0%,15.6%,0.0%,72.0%,14.1%,10.1%,3.9%,0.0%,0.0%,0.0%,0.0%
E14001571,Wellingborough and Rushden,Con,lab,29.8%,8.2%,38.1%,5.1%,0.9%,0.0%,18.0%,0.0%,62.4%,28.3%,6.7%,2.7%,0.0%,0.0%,0.0%,0.0%
E14001572,Wells and Mendip Hills,Con,ld,28.5%,4.7%,20.9%,30.3%,0.9%,0.0%,14.8%,0.0%,56.1%,10.8%,30.8%,1.2%,0.0%,0.0%,0.0%,1.1%
E14001573,Welwyn Hatfield,Con,lab,26.8%,5.9%,50.8%,7.5%,0.0%,0.0%,9.1%,0.0%,52.5%,31.7%,12.7%,3.1%,0.0%,0.0%,0.0%,0.0%
E14001574,West Bromwich,Con,lab,19.8%,7.0%,45.8%,3.6%,2.8%,0.0%,21.1%,0.0%,47.3%,42.1%,3.5%,1.9%,0.0%,0.0%,3.8%,1.3%
E14001575,West Dorset,Con,ld,35.0%,5.3%,17.8%,41.0%,0.9%,0.0%,0.0%,0.0%,54.3%,9.4%,32.8%,3.5%,0.0%,0.0%,0.0%,0.0%
E14001576,West Ham and Beckton,Lab,lab,10.4%,8.5%,58.6%,6.1%,6.8%,0.0%,9.6%,0.0%,16.4%,70.7%,6.1%,2.5%,0.0%,0.0%,2.8%,1.5%
E14001577,West Lancashire,Lab,lab,16.7%,5.7%,56.7%,5.0%,0.0%,0.0%,15.9%,0.0%,36.3%,52.1%,4.9%,2.4%,0.0%,0.0%,4.3%,0.0%
E14001578,West Suffolk,Con,lab,32.5%,7.4%,33.9%,12.5%,1.1%,0.0%,12.7%,0.0%,64.3%,22.2%,9.0%,4.5%,0.0%,0.0%,0.0%,0.0%
E14001579,West Worcestershire,Con,con,36.1%,7.7%,28.6%,14.9%,0.7%,0.0%,12.0%,0.0%,60.7%,16.5%,18.1%,4.7%,0.0%,0.0%,0.0%,0.0%
E14001580,Westmorland and Lonsdale,Con,ld,24.5%,2.2%,11.2%,48.5%,0.7%,0.0%,12.8%,0.0%,50.2%,6.9%,40.7%,0.5%,0.0%,0.0%,1.1%,0.6%
E14001581,Weston-super-Mare,Con,lab,23.5%,7.7%,37.3%,8.2%,0.0%,0.0%,23.3%,0.0%,57.1%,28.1%,11.7%,3.0%,0.0%,0.0%,0.0%,0.0%
E14001582,Wetherby and Easingwold,Con,con,39.5%,7.9%,26.9%,11.0%,2.5%,0.0%,12.2%,0.0%,68.2%,18.2%,7.9%,3.9%,0.0%,0.0%,0.0%,1.7%
E14001583,Whitehaven and Workington,Con,lab,22.6%,3.1%,55.8%,3.4%,0.0%,0.0%,15.2%,0.0%,48.4%,44.1%,4.0%,1.2%,0.0%,0.0%,1.5%,0.8%
E14001584,Widnes and Halewood,Lab,lab,10.2%,8.7%,63.2%,3.0%,1.3%,0.0%,13.7%,0.0%,20.8%,66.5%,2.8%,2.3%,0.0%,0.0%,7.6%,0.0%
E14001585,Wigan,Lab,lab,13.7%,3.6%,55.1%,3.8%,0.8%,0.0%,23.0%,0.0%,31.8%,46.7%,5.4%,2.9%,0.0%,0.0%,13.2%,0.0%
E14001586,Wimbledon,Con,ld,22.1%,4.4%,26.0%,40.7%,1.1%,0.0%,5.7%,0.0%,39.8%,20.8%,38.3%,0.2%,0.0%,0.0%,0.2%,0.6%
E14001587,Winchester,Con,ld,28.1%,4.0%,11.9%,46.8%,0.5%,0.0%,8.8%,0.0%,54.0%,4.8%,39.9%,0.9%,0.0%,0.0%,0.0%,0.5%
E14001588,Windsor,Con,lab,25.8%,5.0%,26.4%,19.3%,0.8%,0.0%,22.6%,0.0%,56.0%,19.6%,18.9%,3.5%,0.0%,0.0%,0.3%,1.8%
E14001589,Wirral West,Lab,lab,23.0%,12.4%,48.0%,4.8%,0.0%,0.0%,11.9%,0.0%,44.4%,45.2%,5.7%,2.5%,0.0%,0.0%,2.2%,0.0%
E14001590,Witham,Con,lab,29.9%,5.6%,31.4%,8.8%,2.9%,0.0%,21.5%,0.0%,66.7%,17.5%,10.0%,5.8%,0.0%,0.0%,0.0%,0.0%
E14001591,Witney,Con,ld,29.1%,2.3%,15.0%,41.5%,0.8%,0.0%,11.4%,0.0%,58.1%,15.4%,26.0%,0.0%,0.0%,0.0%,0.0%,0.6%
E14001592,Woking,Con,ld,25.7%,4.4%,19.1%,43.2%,1.0%,0.0%,6.6%,0.0%,48.3%,16.7%,31.1%,2.8%,0.0%,0.0%,0.0%,1.2%
E14001593,Wokingham,Con,con,34.4%,10.0%,24.8%,21.4%,0.0%,0.0%,9.5%,0.0%,55.5%,9.9%,32.3%,2.2%,0.0%,0.0%,0.0%,0.1%
E14001594,Wolverhampton North East,Con,lab,26.2%,12.1%,41.7%,4.6%,0.0%,0.0%,15.3%,0.0%,55.7%,35.9%,3.6%,1.8%,0.0%,0.0%,3.0%,0.0%
E14001595,Wolverhampton South East,Lab,lab,21.9%,5.0%,49.7%,4.1%,1.8%,0.0%,17.6%,0.0%,41.2%,47.4%,3.8%,1.7%,0.0%,0.0%,5.9%,0.0%
E14001596,Wolverhampton West,Con,lab,22.7%,4.4%,48.0%,3.9%,4.8%,0.0%,16.2%,0.0%,47.4%,45.5%,4.4%,0.2%,0.0%,0.0%,2.5%,0.0%
E14001597,Worcester,Con,lab,25.6%,6.8%,48.5%,6.7%,1.2%,0.0%,11.3%,0.0%,50.8%,37.5%,7.2%,3.3%,0.0%,0.0%,0.0%,1.1%
E14001598,Worsley and Eccles,Lab,lab,17.0%,3.0%,57.3%,7.0%,2.3%,0.0%,13.5%,0.0%,38.5%,46.5%,5.3%,2.5%,0.0%,0.0%,7.1%,0.0%
E14001599,Worthing West,Con,lab,25.6%,5.5%,42.5%,6.2%,0.9%,0.0%,19.4%,0.0%,56.0%,29.5%,9.9%,3.6%,0.0%,0.0%,0.0%,0.9%
E14001600,Wycombe,Con,lab,22.1%,9.2%,43.3%,9.2%,2.9%,0.0%,13.3%,0.0%,43.1%,39.9%,11.3%,2.6%,0.0%,0.0%,0.0%,3.1%
E14001601,Wyre Forest,Con,lab,28.1%,7.3%,35.4%,6.5%,0.7%,0.0%,22.0%,0.0%,65.2%,22.8%,8.1%,3.9%,0.0%,0.0%,0.0%,0.0%
E14001602,Wythenshawe and Sale East,Lab,lab,14.5%,4.6%,63.5%,4.5%,0.9%,0.0%,12.0%,0.0%,30.1%,53.3%,7.0%,3.5%,0.0%,0.0%,6.1%,0.1%
E14001603,Yeovil,Con,ld,27.4%,4.8%,13.8%,41.4%,1.1%,0.0%,11.6%,0.0%,58.2%,6.3%,31.1%,2.8%,0.0%,0.0%,0.0%,1.6%
E14001604,York Central,Lab,lab,13.7%,12.3%,56.8%,6.2%,1.4%,0.0%,9.5%,0.0%,27.8%,56.4%,7.8%,4.2%,0.0%,0.0%,2.4%,1.4%
E14001605,York Outer,Con,lab,20.3%,4.1%,36.8%,13.4%,1.1%,0.0%,24.3%,0.0%,49.6%,29.9%,18.7%,0.0%,0.0%,0.0%,0.5%,1.3%
S14000006,"Ayr, Carrick and Cumnock",SNP,lab,17.4%,3.4%,41.9%,3.0%,0.5%,0.0%,9.0%,24.8%,38.5%,13.3%,4.6%,0.0%,43.5%,0.0%,0.0%,0.0%
S14000008,"Berwickshire, Roxburgh and Selkirk",Con,lab,26.0%,2.6%,35.4%,5.5%,0.7%,0.0%,7.3%,22.6%,48.4%,4.7%,8.1%,0.0%,38.8%,0.0%,0.0%,0.0%
S14000010,Central Ayrshire,SNP,snp,18.2%,6.1%,28.5%,3.2%,2.7%,0.0%,8.8%,32.5%,34.8%,14.1%,4.9%,0.0%,46.2%,0.0%,0.0%,0.0%
S14000021,East Renfrewshire,SNP,lab,19.0%,3.5%,36.7%,5.3%,0.7%,0.0%,6.4%,28.5%,35.1%,12.4%,7.5%,0.0%,44.9%,0.0%,0.0%,0.0%
S14000027,Na h-Eileanan an Iar,SNP,snp,13.3%,0.0%,31.3%,6.7%,0.8%,0.0%,6.2%,41.7%,22.2%,28.3%,4.4%,0.0%,45.1%,0.0%,0.0%,0.0%
S14000040,Kilmarnock and Loudoun,SNP,snp,12.9%,3.0%,31.2%,3.5%,2.9%,0.0%,6.6%,40.0%,24.3%,18.9%,5.1%,0.0%,50.8%,0.0%,0.0%,0.9%
S14000045,Midlothian,SNP,lab,10.3%,0.0%,48.7%,4.7%,0.5%,0.0%,5.5%,30.2%,21.7%,29.7%,7.0%,0.0%,41.5%,0.0%,0.0%,0.0%
S14000048,North Ayrshire and Arran,SNP,snp,14.8%,3.4%,30.0%,3.7%,0.6%,0.0%,11.4%,36.1%,30.8%,13.9%,4.4%,2.3%,48.5%,0.0%,0.0%,0.0%
S14000051,Orkney and Shetland,LD,ld,7.8%,4.9%,15.1%,36.5%,0.0%,0.0%,18.1%,17.5%,9.9%,6.7%,44.8%,0.0%,34.0%,0.0%,3.9%,0.7%
S14000058,West Aberdeenshire and Kincardine,Con,lab,23.5%,2.9%,28.8%,7.7%,0.7%,0.0%,8.7%,27.6%,42.7%,4.6%,11.7%,0.0%,41.1%,0.0%,0.0%,0.0%
S14000060,Aberdeen North,SNP,snp,12.4%,3.2%,26.1%,4.6%,0.6%,0.0%,9.4%,43.6%,24.5%,12.0%,7.7%,1.2%,52.9%,0.0%,1.6%,0.0%
S14000061,Aberdeen South,SNP,lab,16.3%,3.5%,36.6%,6.4%,0.6%,0.0%,7.5%,29.1%,34.4%,8.8%,10.7%,0.5%,45.3%,0.0%,0.4%,0.0%
S14000062,Aberdeenshire North and Moray East,Con,snp,23.5%,0.0%,25.7%,4.0%,0.0%,0.0%,10.8%,36.1%,48.3%,4.2%,4.4%,0.0%,43.1%,0.0%,0.0%,0.0%
S14000063,Airdrie and Shotts,SNP,lab,8.6%,0.0%,43.7%,2.7%,0.6%,0.0%,6.4%,38.0%,17.3%,33.1%,3.6%,1.5%,44.6%,0.0%,0.0%,0.0%
S14000064,Alloa and Grangemouth,SNP,snp,11.5%,3.1%,33.5%,8.6%,0.7%,0.0%,6.3%,36.4%,24.8%,14.5%,5.3%,1.5%,52.7%,0.0%,0.4%,0.8%
S14000065,Angus and Perthshire Glens,SNP,snp,20.4%,0.0%,20.5%,4.5%,0.6%,0.0%,7.3%,46.6%,39.8%,4.2%,5.0%,0.0%,50.4%,0.0%,0.6%,0.0%
S14000066,Arbroath and Broughty Ferry,SNP,snp,15.0%,0.0%,25.1%,6.6%,0.7%,0.0%,6.8%,45.8%,30.3%,10.2%,8.0%,0.0%,50.9%,0.0%,0.0%,0.6%
S14000067,"Argyll, Bute and South Lochaber",SNP,snp,18.5%,0.0%,23.5%,11.6%,0.7%,0.0%,8.7%,37.1%,34.5%,7.1%,14.1%,0.0%,44.2%,0.0%,0.1%,0.0%
S14000068,Bathgate and Linlithgow,SNP,snp,14.1%,5.7%,31.6%,5.7%,1.0%,0.0%,10.1%,31.8%,24.6%,18.8%,8.2%,2.2%,43.0%,0.0%,1.9%,1.2%
S14000069,"Caithness, Sutherland and Easter Ross",SNP,ld,11.6%,2.9%,20.1%,35.1%,0.9%,0.0%,6.0%,23.3%,17.3%,5.3%,33.6%,0.6%,38.9%,0.0%,2.9%,1.4%
S14000070,Coatbridge and Bellshill,SNP,lab,6.6%,4.0%,37.0%,2.1%,2.2%,0.0%,13.8%,34.4%,11.9%,36.3%,3.0%,1.5%,47.3%,0.0%,0.0%,0.0%
S14000071,Cowdenbeath and Kirkcaldy,SNP,lab,13.1%,8.8%,39.4%,4.1%,1.2%,0.0%,9.0%,24.3%,22.2%,29.5%,6.5%,3.5%,36.3%,0.0%,2.0%,0.0%
S14000072,Cumbernauld and Kirkintilloch,SNP,snp,8.1%,5.6%,30.8%,2.6%,0.0%,0.0%,11.5%,41.4%,15.0%,27.1%,5.6%,0.2%,52.0%,0.0%,0.0%,0.0%
S14000073,Dumfries and Galloway,Con,snp,25.0%,3.9%,25.5%,5.0%,0.8%,0.0%,10.3%,29.5%,43.8%,9.4%,6.0%,0.0%,40.8%,0.0%,0.0%,0.0%
S14000074,"Dumfriesshire, Clydesdale and Tweeddale",Con,lab,25.5%,3.2%,35.2%,4.2%,0.8%,0.0%,8.0%,23.1%,46.5%,8.3%,7.3%,0.0%,37.9%,0.0%,0.0%,0.0%
S14000075,Dundee Central,SNP,snp,5.0%,0.0%,27.5%,2.0%,0.6%,0.0%,13.7%,51.2%,11.1%,23.8%,5.5%,0.0%,56.5%,0.0%,2.6%,0.5%
S14000076,Dunfermline and Dollar,SNP,snp,12.0%,6.1%,29.3%,6.4%,2.9%,0.0%,10.6%,32.8%,21.5%,23.6%,8.4%,2.2%,44.3%,0.0%,0.0%,0.0%
S14000077,East Kilbride and Strathaven,SNP,lab,11.5%,5.7%,37.4%,3.7%,0.6%,0.0%,6.4%,34.7%,21.4%,21.6%,6.9%,2.1%,47.0%,0.0%,0.0%,1.1%
